0, 42, 3.4641530866874377
0, 47, 3.7034144334862087
0, 70, 2.4333992118019614
0, 86, 4.0
0, 97, 3.3037598812261013
0, 116, 3.0
0, 133, 4.0
0, 207, 4.0
0, 208, 3.4641016151377544
0, 209, 2.697761082408072
0, 231, 3.5278640450004204
0, 295, 3.0638164230386495
0, 339, 2.468824756629842
0, 372, 4.0
0, 482, 3.0
0, 553, 3.0
0, 573, 3.5339394440353282
0, 605, 3.0
0, 698, 3.585786437626905
0, 730, 4.0
0, 739, 0.0
0, 769, 3.0
0, 843, 1.0
0, 892, 3.0
0, 893, 3.0
0, 943, 4.0
0, 958, 3.0
0, 1006, 3.5505102572168217
0, 1021, 3.721311475409836
0, 1062, 3.0
0, 1073, 3.58455408674966
0, 1159, 2.0
0, 1252, 4.0
0, 1539, 3.0
0, 1560, 3.0
0, 1659, 3.0
0, 2415, 3.0
0, 2477, 3.0
0, 2562, 3.0
0, 2776, 3.0
0, 2830, 3.0
0, 2934, 3.0
0, 3070, 3.0
0, 3317, 3.0
0, 3394, 3.0
0, 3429, 3.0
0, 3470, 3.0
0, 3606, 3.0
0, 3697, 3.0
0, 3706, 3.0
1, 56, 3.9825967400488844
1, 108, 3.0
1, 143, 3.9825967400488844
1, 159, 3.0
1, 209, 3.0
1, 283, 1.0
1, 339, 2.0829985282180408
1, 391, 3.0
1, 406, 2.8377223398316205
1, 463, 2.660145352147656
1, 623, 3.0
1, 715, 5.0
1, 1013, 3.0
1, 1076, 4.520217600897357
1, 1089, 5.0
1, 1108, 3.0
1, 1109, 3.0
1, 1159, 3.0
1, 1279, 4.0
1, 1335, 3.0
1, 1487, 3.0
1, 1523, 3.0
1, 1532, 3.0
1, 1573, 3.0
1, 1586, 3.0
1, 1666, 3.0
1, 1734, 3.0
1, 1831, 3.0
1, 1835, 3.0
1, 1895, 3.0
1, 1909, 4.0
1, 1929, 3.0
1, 2124, 3.0
1, 2272, 5.0
1, 2398, 3.0
1, 2446, 2.0
1, 2803, 3.0
1, 2820, 3.0
1, 3227, 3.0
1, 3266, 3.0
1, 3680, 3.0
2, 264, 3.0
2, 394, 3.0
2, 420, 4.0
2, 464, 3.0
2, 502, 3.0
2, 532, 4.0
2, 628, 3.0
2, 674, 3.0
2, 936, 3.0
2, 1069, 3.0
2, 1071, 3.0
2, 1296, 3.0
2, 1343, 3.0
2, 1416, 3.0
2, 1636, 3.0
2, 1719, 2.0
2, 1773, 3.0
2, 1872, 3.0
2, 1913, 3.0
2, 2125, 3.0
2, 2300, 3.0
2, 2403, 3.0
2, 2703, 3.0
2, 2860, 3.0
2, 2942, 3.0
2, 3066, 3.0
2, 3210, 3.0
2, 3226, 3.0
2, 3257, 3.0
2, 3324, 3.0
2, 3373, 3.0
2, 3398, 3.0
2, 3400, 3.0
2, 3440, 3.0
2, 3450, 3.0
2, 3458, 3.0
2, 3563, 3.0
2, 3711, 3.0
3, 8, 4.039638619366583
3, 19, 4.320714913181856
3, 20, 5.0
3, 23, 4.257727205737636
3, 42, 5.397921326813937
3, 44, 3.916093713459244
3, 64, 4.03189408339652
3, 92, 4.7387961250362585
3, 105, 4.664894144700916
3, 107, 4.0
3, 120, 5.03274139930727
3, 141, 2.4
3, 167, 3.645680004652311
3, 173, 2.79917074315929
3, 303, 5.0
3, 409, 4.146564861658993
3, 454, 4.0
